epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,90.9536,0.7129,8.8686,0.93889,0.5,0.05267,0.10109,0.08758,0.93183,7.85844,0.98027,0.000822003,0.000822003,0.000822003
43,92.2786,0.74301,7.17574,0.93379,0.5,0.0467,0.104,0.08457,0.83108,7.60029,0.97335,0.000827782,0.000827782,0.000827782
44,93.594,0.72373,6.27146,0.87314,0.51519,0.07631,0.10496,0.08834,0.80051,7.49954,0.90825,0.000832902,0.000832902,0.000832902
45,94.9365,0.8176,10.0648,0.97916,0.5274,0.13118,0.11285,0.09111,0.7845,7.51265,0.89225,0.000837361,0.000837361,0.000837361
46,96.2503,0.68472,9.8797,0.96225,0.53626,0.21498,0.14013,0.1029,0.79211,7.61034,0.88596,0.00084116,0.00084116,0.00084116
47,97.5815,0.78675,6.90056,0.97765,0.61878,0.1848,0.19876,0.14513,0.84942,7.47486,0.90419,0.000844299,0.000844299,0.000844299
48,98.9408,0.88444,6.82169,0.92097,0.62626,0.17974,0.21894,0.1688,0.85343,7.45582,0.91104,0.000846778,0.000846778,0.000846778
49,100.293,0.83808,6.09229,0.94282,0.59295,0.16971,0.1959,0.15938,0.78231,7.5466,0.89831,0.000848596,0.000848596,0.000848596
50,101.622,0.76981,6.11212,0.88539,0.53777,0.13737,0.1754,0.14971,0.72514,7.6672,0.87217,0.000849755,0.000849755,0.000849755
51,102.966,0.71775,6.08603,0.9263,0.51758,0.10789,0.21369,0.1818,0.81395,7.86314,0.88911,0.000841835,0.000841835,0.000841835
52,104.276,0.78665,5.39702,0.90544,0.51696,0.12848,0.27451,0.22474,0.9351,7.86719,0.92303,0.000825332,0.000825332,0.000825332
53,105.675,0.7271,5.79631,0.95808,0.53137,0.15943,0.3466,0.27555,0.9749,7.51959,0.98886,0.000808828,0.000808828,0.000808828
54,106.981,0.75166,6.18627,0.96027,0.52544,0.13235,0.38692,0.31648,0.89332,7.17369,1.01346,0.000792325,0.000792325,0.000792325
55,108.408,0.74379,6.23064,0.90362,0.53103,0.13364,0.38678,0.31206,0.90914,6.99722,1.02654,0.000775822,0.000775822,0.000775822
56,109.734,0.81204,6.08548,0.93585,0.52806,0.13436,0.38563,0.31597,0.89013,6.865,1.02389,0.000759318,0.000759318,0.000759318
57,111.14,0.61855,4.68019,0.87745,0.48609,0.20253,0.4046,0.34027,0.8035,6.72555,1.0189,0.000742815,0.000742815,0.000742815
58,112.498,0.66585,5.56661,0.87556,0.48129,0.22619,0.41411,0.34633,0.8245,6.68892,0.9948,0.000726312,0.000726312,0.000726312
59,113.845,0.64179,7.18987,0.87484,0.47713,0.21181,0.4188,0.3504,0.83794,6.61682,0.98164,0.000709809,0.000709809,0.000709809
60,115.251,0.69445,6.10648,0.88526,0.48581,0.25467,0.42199,0.3555,0.80843,6.50166,0.97146,0.000693305,0.000693305,0.000693305
61,116.66,0.68679,5.6086,0.89344,0.41681,0.35756,0.44697,0.36224,0.83997,6.36882,0.94975,0.000676802,0.000676802,0.000676802
62,118.082,0.70961,5.07151,0.915,0.3924,0.33589,0.44878,0.36419,0.85109,6.20249,0.95308,0.000660299,0.000660299,0.000660299
63,119.443,0.59398,6.0774,0.79913,0.4076,0.35518,0.44107,0.35685,0.81489,6.04217,0.94862,0.000643795,0.000643795,0.000643795
64,120.831,0.58239,5.95181,0.87816,0.40359,0.37868,0.43218,0.36101,0.77057,5.96129,0.92559,0.000627292,0.000627292,0.000627292
65,122.194,0.58256,5.08932,0.91496,0.40378,0.40191,0.42599,0.3497,0.77415,5.9469,0.91275,0.000610789,0.000610789,0.000610789
66,123.566,0.64746,5.08703,0.92832,0.40151,0.39998,0.42172,0.34553,0.79952,5.92789,0.91613,0.000594286,0.000594286,0.000594286
67,124.94,0.52795,4.96479,0.84071,0.39916,0.38808,0.41964,0.34534,0.77489,5.87607,0.91351,0.000577782,0.000577782,0.000577782
68,126.305,0.62286,4.07623,0.87188,0.41049,0.39882,0.41534,0.33933,0.78437,5.82622,0.91593,0.000561279,0.000561279,0.000561279
69,127.681,0.59323,4.34293,0.87955,0.39976,0.35678,0.41531,0.34429,0.74914,5.74951,0.90873,0.000544776,0.000544776,0.000544776
70,129.082,0.75989,5.2866,0.97331,0.38086,0.33461,0.41358,0.34748,0.70987,5.66205,0.89707,0.000528272,0.000528272,0.000528272
71,130.425,0.61861,4.62729,0.88584,0.38104,0.33524,0.41866,0.3509,0.74622,5.57079,0.90139,0.000511769,0.000511769,0.000511769
72,131.757,0.57568,4.22852,0.88107,0.38586,0.36047,0.41558,0.35072,0.76034,5.48467,0.8977,0.000495266,0.000495266,0.000495266
73,133.125,0.60317,5.85751,0.86516,0.38139,0.36047,0.41571,0.34733,0.78982,5.39474,0.90426,0.000478762,0.000478762,0.000478762
74,134.512,0.52878,4.41167,0.86404,0.40142,0.41497,0.41812,0.34942,0.80327,5.27922,0.89921,0.000462259,0.000462259,0.000462259
75,135.895,0.57977,5.18893,0.87615,0.40278,0.42011,0.42188,0.35421,0.76398,5.14985,0.89984,0.000445756,0.000445756,0.000445756
76,137.25,0.4671,4.04544,0.84249,0.40239,0.42299,0.42628,0.3614,0.74064,5.00686,0.90628,0.000429253,0.000429253,0.000429253
77,138.544,0.55249,5.09369,0.90277,0.41157,0.46948,0.42755,0.36588,0.7407,4.81247,0.90441,0.000412749,0.000412749,0.000412749
78,139.938,0.58777,4.97038,0.90489,0.40469,0.45785,0.42914,0.36549,0.71401,4.67742,0.90439,0.000396246,0.000396246,0.000396246
79,141.267,0.48375,4.86088,0.82435,0.39725,0.4811,0.43118,0.36427,0.73167,4.55087,0.90366,0.000379743,0.000379743,0.000379743
80,142.619,0.45202,4.25728,0.8148,0.38591,0.4811,0.42889,0.35414,0.74526,4.42811,0.90497,0.000363239,0.000363239,0.000363239
81,143.969,0.60814,4.06072,0.90734,0.37349,0.4811,0.4255,0.34268,0.7954,4.29674,0.90732,0.000346736,0.000346736,0.000346736
82,145.3,0.57238,3.69178,0.88452,0.37299,0.4266,0.42054,0.3365,0.79553,4.13449,0.89668,0.000330233,0.000330233,0.000330233
83,146.645,0.55813,3.6151,0.86632,0.3754,0.4266,0.41969,0.34466,0.77089,3.96574,0.891,0.000313729,0.000313729,0.000313729
84,147.995,0.52394,4.83303,0.88702,0.3852,0.41497,0.42064,0.3466,0.75548,3.8213,0.88351,0.000297226,0.000297226,0.000297226
85,149.341,0.62272,4.68539,0.90854,0.38366,0.42415,0.42346,0.35606,0.71013,3.66949,0.87443,0.000280723,0.000280723,0.000280723
86,150.708,0.59491,3.67396,0.81293,0.35786,0.46148,0.42275,0.36253,0.69107,3.54393,0.87361,0.00026422,0.00026422,0.00026422
87,152.056,0.50928,4.037,0.86185,0.36174,0.49336,0.42456,0.35993,0.70465,3.43398,0.86665,0.000247716,0.000247716,0.000247716
88,153.355,0.50704,3.8431,0.85893,0.35787,0.51708,0.42508,0.36275,0.69846,3.37003,0.87434,0.000231213,0.000231213,0.000231213
89,154.76,0.45161,4.67789,0.84766,0.36795,0.51449,0.42419,0.36118,0.7058,3.34037,0.8984,0.00021471,0.00021471,0.00021471
90,156.1,0.56088,3.55133,0.89901,0.35817,0.47311,0.42417,0.36259,0.7093,3.33494,0.89138,0.000198206,0.000198206,0.000198206
91,160.636,0.44387,6.23366,0.8574,0.37117,0.49486,0.42466,0.36077,0.71534,3.30708,0.8929,0.000181703,0.000181703,0.000181703
92,162.368,0.42991,6.73208,0.79516,0.36872,0.4699,0.42639,0.35701,0.7301,3.30255,0.89516,0.0001652,0.0001652,0.0001652
93,163.709,0.43457,6.20525,0.91943,0.36811,0.47311,0.42748,0.35596,0.71884,3.30235,0.89502,0.000148696,0.000148696,0.000148696
94,165.028,0.49271,7.80967,0.83246,0.36484,0.47941,0.42808,0.35648,0.74087,3.26993,0.89827,0.000132193,0.000132193,0.000132193
95,166.356,0.45246,6.93986,0.78442,0.36155,0.45768,0.42788,0.35354,0.73914,3.21859,0.90227,0.00011569,0.00011569,0.00011569
96,167.668,0.4576,6.29199,0.82144,0.36218,0.45845,0.42713,0.35196,0.74672,3.16245,0.91007,9.91865e-05,9.91865e-05,9.91865e-05
97,168.976,0.43757,5.87292,0.78516,0.36978,0.49637,0.42833,0.35473,0.73945,3.10706,0.91246,8.26832e-05,8.26832e-05,8.26832e-05
